#time	distance
0 30
2 32.074
4 34.296
6 36.645
8 39.102
10 41.652
12 44.28
14 46.976
16 49.732
18 52.543
20 55.405
22 58.314
24 61.265
26 64.257
28 67.285
30 70.346
32 73.434
34 76.549
36 79.689
38 82.852
40 86.037
42 89.244
44 92.472
46 95.72
48 98.986
50 102.27
52 105.57
54 108.89
56 112.22
58 115.57
60 118.93
62 122.3
64 125.68
66 129.08
68 132.49
70 135.9
72 139.32
74 142.75
76 146.18
78 149.62
80 153.07
82 156.52
84 159.98
86 163.44
88 166.91
90 170.39
92 173.86
94 177.34
96 180.81
98 184.29
100 187.76
102 191.24
104 194.71
106 198.17
108 201.63
110 205.09
112 208.54
114 211.99
116 215.43
118 218.87
120 222.3
122 225.73
124 229.15
126 232.56
128 235.97
130 239.36
132 242.75
134 246.13
136 249.51
138 252.87
140 256.23
142 259.57
144 262.91
146 266.23
148 269.53
150 272.83
152 276.11
154 279.38
156 282.65
158 285.9
160 289.14
162 292.37
164 295.58
166 298.79
168 301.98
170 305.16
172 308.32
174 311.47
176 314.61
178 317.73
180 320.84
182 323.93
184 327.01
186 330.08
188 333.14
190 336.18
192 339.2
194 342.21
196 345.21
198 348.19
200 350
