#time	distance
0 30
2 31.062
4 32.179
6 33.344
8 34.555
10 35.807
12 37.096
14 38.418
16 39.771
18 41.152
20 42.558
22 43.987
24 45.438
26 46.908
28 48.396
30 49.901
32 51.421
34 52.955
36 54.503
38 56.064
40 57.635
42 59.218
44 60.811
46 62.413
48 64.025
50 65.644
52 67.272
54 68.908
56 70.551
58 72.201
60 73.858
62 75.521
64 77.19
66 78.865
68 80.545
70 82.231
72 83.922
74 85.618
76 87.318
78 89.023
80 90.732
82 92.444
84 94.161
86 95.882
88 97.606
90 99.334
92 101.07
94 102.8
96 104.54
98 106.28
100 108.02
102 109.77
104 111.52
106 113.28
108 115.03
110 116.79
112 118.55
114 120.32
116 122.09
118 123.86
120 125.63
122 127.4
124 129.18
126 130.96
128 132.74
130 134.52
132 136.3
134 138.09
136 139.88
138 141.67
140 143.46
142 145.25
144 147.04
146 148.84
148 150.63
150 152.43
152 154.23
154 156.03
156 157.83
158 159.63
160 161.44
162 163.24
164 165.05
166 166.86
168 168.67
170 170.48
172 172.29
174 174.1
176 175.91
178 177.72
180 179.53
182 181.34
184 183.16
186 184.97
190 188.6
192 190.42
194 192.23
196 194.05
198 195.87
200 197.68
202 199.5
204 201.32
206 203.14
208 204.96
210 206.77
212 208.59
214 210.41
216 212.23
218 214.04
220 215.86
222 217.68
224 219.5
226 221.31
228 223.13
230 224.95
232 226.76
234 228.58
236 230.4
238 232.21
240 234.03
242 235.85
244 237.66
246 239.47
248 241.29
250 243.1
252 244.91
254 246.73
256 248.54
258 250.35
260 252.16
262 253.97
264 255.78
266 257.59
268 259.4
270 261.2
272 263.01
274 264.81
276 266.62
278 268.42
280 270.22
282 272.02
284 273.81
286 275.61
288 277.41
290 279.2
292 280.99
294 282.78
296 284.57
298 286.36
300 288.15
302 289.94
304 291.72
306 293.5
308 295.28
310 297.06
312 298.84
314 300.62
316 302.4
318 304.17
320 305.95
322 307.72
324 309.49
326 311.26
328 313.02
330 314.79
332 316.55
334 318.31
336 320.07
338 321.83
340 323.58
342 325.34
344 327.09
346 328.84
348 330.59
350 332.34
352 334.08
354 335.82
356 337.57
358 339.3
360 341.04
362 342.78
364 344.51
366 346.24
368 347.97
370 350
